nama_produk,harga,gambar,link_produk
Nike P-6000 Metallic Silver Sail,1480000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc4MjEzL2EyN2M4NjU2Nzk2MjYyMDkzODBhNTc3ZWQzOWQ0NGZhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-p-6000-metallic-silver-sail-cn0149-001-ka/78213?from=search
Adidas AE 1 Low MX Grey,1430000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODE5MS8xMmZhMWRjMWZlZmY3YWFmODAwYTRlZDAwMzhkODBlOC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/adidas/adidas-ae-1-low-mx-grey-ji4066-ka/108191?from=search
Nike Giannis Immortality 3 EP Triple White,640000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMTIxMS9lNzg1MDYwZDJjNDliODgzZmVkZjdmZTAzY2U2YjAzMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-giannis-immortality-3-ep-triple-white-dz7534-102-ka/111211?from=search
Puma Palermo Players Lane,1510000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODUwNi9hZGFhNjhjMzU3MGI5NjRmYmUzMTRkYjUwZDk2MDFjMi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/puma/puma-palermo-players-lane-398525-01-ka/108506?from=search
Nike LeBron Icon John Elliott Black,700000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzgzOTQ4LzkyMjRiZWZlZDM3YjA2ZjMxMjhmMmU1MzhjNDk0ZDA4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-lebron-icon-john-elliott-black-aq0114-001-ka/83948?from=search
Nike Dunk Low Athletic Department Deep Jungle,1320000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzcyMzQxLzkyMWIxNjUyYWU2MTdiNzQxYTI1MDhmNmI0YTI1YzQxLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-dunk-low-athletic-department-deep-jungle-fq8080-133-ka/72341?from=search
Air Jordan 1 Low Industrial Blue,1100000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwMzEwOS9kNzdiNWQ3NzU4Mjc0ZmMxZmNmZjNlMjc1MDU5MDE5Ni5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/air-jordan/air-jordan-1-low-industrial-blue-fn5214-141-ka/103109?from=search
Nike P-6000 Coconut Milk Metallic Silver (Women's),1890000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc1MTc4L2UxZWJlMWYzNGVlMzMyZjE0MzE0NGMwMDA1NWU4MWZiLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-p-6000-coconut-milk-metallic-silver-w-fv6603-100-ka/75178?from=search
ASICS Gel-Kayano 14 Cream Black Metallic Plum (Kick Point Only),719000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzk1NjIyL2U2N2I0YTA5MDc0YTgxM2RhMzYwMmMwYWEwNTRkMjkyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/asics/asics-gel-kayano-14-cream-black-metallic-plum-kick-point-only-kp-1201a019-108-ka/95622?from=search
Nike Kobe Zoom 6 Protro EYBL,102600000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzgzMzE5LzgyZWRmMDU0NWE2ZWRmZDQ1N2IxYTU2MzljNzAzYjcyLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-kobe-zoom-6-protro-eybl-dm2825-001-ka/83319?from=search
Adidas Samba Classic Black,850000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzQyMzkyL2FmYThhMzY2MjU4MmQwNmY3MGMxZjkxMTg3NWIwNThmLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/adidas/adidas-samba-classic-black-034563-ka/42392?from=search
